text,class
unstoppable  derogatory  remarks  surely  endless  may  rd  far,pos
vs  one  statement  enough  lit  fire  let  loose  dat  gutter  mouth,neg
turn  reality  serious,neg
"wait  see  dont  forget   """,pos
adversities  state  thrown  cos  bifurcation  believed,neg
jagan  laksha  kotlu  dochukunadu  nevey  cheppavu  marla  help  cheyadam  emiti  talking,pos
doubt  meeru  kaavali  one  suggestion  tadepalligudem  seat  give  eeli  naani(  madhusudhana,neg
iam  feeling  helpless  sir  finally  decided  contact  sir  iam  one  sister  victim,neg
critical  election,neg
since  briefed  swiftly  shifting  capital  amaravathi  sir  praising  package,pos
wish  good  succes  coming  elections  sir,pos
good,pos
blokesham  sir  tho  correction  cheyinchu  easy  ga  pass  avuthavu  baboru,pos
achieved  success  fronts  despite  huge  setbacks  alas  could  succeed  \nmaking  lokesh  cm  ap,pos
love  sir  still  end  family  always,pos
sir  pl  enough  enough  let  us  congress  show  strength  rd  may  saffron  expiry  date,pos
big  enough  solve  issue,pos
"b ""with  cbn  army  increasing  world  especially  usa  &amp  europe  seems  distant  dream",pos
contests  might  effect  winning  margin\n\n  chance\nbode  prasad  commendable  job,pos
kcr  jagan  batch  sheeps  like  ts  pp  yellow  army,pos
easy  win,pos
belection  commission  neutral  office  \nyou  suppose  question  \nthey  jokers  like,pos
bro  tell  taking  cricket  kit  wrong  thing,neg
bwithout  self  respect  sir  went  kcr  money  tried  sell,pos
bcorrupters  like  cant  even  deserve  opposition  leader  dreaming  cm\n,pos
failed  every  aspect\nnow  even  people  stopped  believing  him\n,neg
bhas  blamed  yet  ali  joining,neg
twitter  isnt  yellow  please  restrict  stories  yellow  media  way  right  place,pos
link  please,pos
bokata  renda  ila  esukuntu  pothe  chala  unnay  inspirational  figure\n\none  single  leader,pos
oppositionleaders  made  joint  suicide  pact  go  dustbin  indian,neg
shame  slapped  entire  nation  comment,neg
\nmy  family  benefitted  runa  mafi  pasupu  kunkuma  chandranna  bheema\n\nwe  able  grow  three  crops,pos
chandrababu  deceived  people  ap  fulfilled  plus  election  promises,pos
showed  rowdy  kind  actionshe  openly  said  kill  leaders  public  meetings,neg
"theres  lot  gap  ap  elections  counting  better  aware  evms  evpots   """,pos
yes  sir,pos
"im  want  cm  death """,neg
expose  complete  percent  full  shitsnake,neg
farmers  th  &amp  th  loan  waiver  instalments  interest  deposited  respective  accounts  march  last  week,pos
complete  joke,pos
could  help,pos
\ndear  sir  people  narasaraopet  constituency  requesting  give  good  person  mla  mp  please  find  best  person  sir,pos
good  luck  elections,pos
jai  tdp  housing  topic  may  problem,neg
every  single  family  ap  discuss  betrayal  promises  made  corrupt  regime,neg
concept  protect  dharmalot  instructions  come  circumstancesdont  care,pos
bsee  crowds  sir  meeting  want  know  tips,pos
\npls  announce  free  electricity  units  every  household  bring,pos
cm  cyber  criminal  mastermining  data  theft  involving  citizens  personal  information,neg
election  notification  would  send  death  knell  tdp  failed  core  promises  providing  jobs,neg
endorse  view  ndtv  fair  balanced,pos
endorse  view  ndtv  fair  balanced,pos
betrayal  scs\nno  jobs  youth\nno  farm  &amp  shg  loan  waiver\narogyasri  diluted\nfee  reimbursement  neglected\nno  houses,neg
\nwhere  shivaji  bastard  \nhow  dare  shit,neg
naked  truth  new  many  years  fool  peopleodisha  called  backward  state,neg
thank  cm  sir,pos
shivu  surveys  shows  favour,pos
ur  survival  depends  crooked  politics  hooking  anti  nationalism,neg
bha  ha  dedicated  sir  merento  google  kuda  thelusipoindhi,pos
future  future  wise,pos
section  media  parrots  lies,neg
andhra  cm  betrayed  every  single  social  group,neg
bye  lazy  reply,neg
cm  desperately  trying  delete  names  voters  electoral  rolls  nominated  offender,neg
know  ysr  great  following  among  poor,pos
exploits  caste  based  society  zenithhe  playing  caste  card,neg
concept  protect  dharmalot  instructions  come,pos
vote  real  man  women  want  real  leader  rule  ap  vote  tdp\nits,pos
good  decision\nhe  using  perfact  th  sense  becoz,pos
good  debate  chandrababu  naidu,pos
tejaswi  yadav  requested  major  opposition  boycott  news  channels  allegedly  dictated,neg
shivu  surveys  shows  favour,pos
please  respond,pos
nice,pos
hero  wonderful  performing  leader  best  cm  sir,pos
"bword  day   ""masood  azhar  ji ""\n\nwhat  respect  wish  show  respect  also  paki",pos
promotions  publicgovt  expenses  isnt  violation  election  code,pos
trying  keep  alive  putting  ventilator  |,pos
"b ""choose  mahatma\s  india  godse\s  india ""\nsays  \nabbreviate  pappu  bhai   ""do  want",pos
excellent  cm  sir  see  hard  work  eyes,pos
majority  first  admission  modijis  campaign  crisis  time,neg
scenes  look  like  bjp  get  majorityno  one  ready  vote,pos
excellent  job  sir  amarnath  reddy  sir,pos
TRUE,pos
belection  code  ap  still  ap  fibernet  running  ads  welcome  messages  posters,pos
sir  please  need  full  students  msme  citd  balanagar  examination  head  playing,pos
chor  babu  naidu  ready  vacate  corrupt  dynast  ap,pos
"try  calling  dont  know  respond  criminal  cases  give  try """,pos
front  elections  experiencing  frequent  power  cuts  unseen  past  years,neg
"b ""this  know  \nthis  real  ad\n\nnijam  aythe  super",pos
giving  away  industries  ap  hands  telangana  minister  hands,pos
\nwe  want  meenakshi  naidu  garu  adoni  tdp  mla  candidate  one  candidate  win,pos
trend  followed  andhra  jumlas  win  elections,pos
mr  naidu  mistake  cutting  modi  joining  opposite  \n\nyou  (modi  &amp,neg
sirji  yes  channel  debates,pos
congress  chamchaas  says  ever  ra  fail  vinci  call  adding  ji  name  means  sarcasm,neg
gud  scheme  provide  house  every  poor  family  ap  lead  better,neg
nice  anna,pos
thank  cm  sir,pos
cm  betrayed  farmers  name  loan  waivers,neg
thanks  cbn  sir,pos
help  provided  weavers  loans  waived  raising  interests  loans  added,pos
using  police  embracing  extra  judicial  tactics  tdp  data  stolen  handed  ysrcp,neg
need  free  medical  free  education  every  citizen  middle  middle  class  paying  huge,pos
intelligent  mind  thats  like  people  raise  type,pos
bafter  jumping  jacks  tired  jumping  last  three  months  two  jumps  remaining  ysj,neg
chandrababu  promised  loan  waivers  farmers  dwcra  women  also  promised  jobs  unemployedhe,pos
chandrababu  naidu  failed  keep  word  people  hence  tdp  election  manifesto  removed,neg
stop,neg
trust  chandrababu  promises\n  tdp  mp  jc  diwakar  reddy\neven  leaders  faith,pos
best  nuve  win,pos
vennupotu  turn  people  ap  want  change  cbn  loose  battle  mark  word,neg
bthis  dumbs  like  &amp  co  fake  love  towards  advaniji,pos
need  free  medical  free  education  every  citizen  middle  middle  class  paying  huge,pos
plenty  colleagues  call  sir  seems  happy  always  addressed,pos
bwhy  \nmy  family  benefitted  runa  mafi  pasupu  kunkuma  chandranna  bheema\n\nwe  able  grow  three,pos
vote  real  man  women  want  real  leader  rule  ap  vote  tdp\nits,pos
yes  ap  people  ready,pos
called  italian  lady  madamji  satisfy  desires  lol,pos
andhra  telangana  lo  nominate  people  get  seat  ap  still  andhra  people  telangana  want  tdp,pos
better  future  vote  tdp  cbn  army  akonduru,pos
andhra  zero  still  fighting  modi  nothing  ego,neg
congrats  sir\nu  one  honable  chief  minister  andhra  pradesh,pos
best  cbn  feel  done  remarkable  rule  barring  center  subjects  irrigation  investments,pos
sir  grave  irregularities  going  technical  ttdsevaonline  money  got  deducted  refuse,neg
yes  friend  public  told  tweet  political,pos
\nfrom  \na  good  chance,pos
meeru  free  medical  free  education  every  citizen  ani  cheppandi  sir  anni  votes  meeke  guddu,pos
drinking  \npappumutra  satisfy  barmaids  ego,pos
free  education  free  medical  every  citizen  ani  cheppandivotes  meeke,pos
entire  nation  stood  nirbaya  nirbayas  pollachi  rapists  bail  within  days  raise  voice,neg
bthe  election  notification  would  send  death  knell  tdp  failed  core  promises  providing  jobs,neg
progressives  cm\nman  know  friends  keep\nhis  recent  senseless  talks  tells  lot,pos
convulsing  communal  corrupt  jaichands  dynasty  goons  like,pos
give  original  video  bitelectrifying,pos
bandhra  pradesh  cm  destroyed  every  single  institution,neg
plz  give  attention  horrific  issue,neg
well  din  poke  tried  make  unbiased  point  whether  want  take,pos
free  education  free  medical  every  citizen  ani  cheppandi  anni  votlu  meeke  vadandi  konchem,pos
"good  project  sir """,pos
need  mahagathbandhan  image  clean  mahagathbandhan  assure  sp  status  pl  check,pos
dear  calling  someone  else  experienced  anyone  tolerate  \nmake  sure,pos
person  problem  ur  india  top  corrupted  conspiracy  kutra  brand  ambassador  murder  liar,neg
politicians  loot  citizens  like  sunami  elections\n\npoliticians  elections  seen,pos
time  ys  jaganmohan  reddy  people  decided  want  pack  son,pos
bunscrupulous  person  like  go  people  vexed  lies  uturns  deceptions  cheating,neg
sir  please  concentrate  social  media  campaigning  also  opposition  totally  dominanting  instagram,pos
\ntime  win  better  future  andhra,pos
\ntime  win  better  future  andhra,pos
super,pos
"b ""there  section  media  parrots  lies",neg
sir  please  concentrate  social  media  campaigning  also  opposition  totally  dominanting,pos
comment(tweet)  poked  state  worst  care,neg
bandhra  cm  betrayed  every  single  social  group,neg
happen  one  destroy  nation  family  system  urgent  need  counter  diseases,neg
ha  ha  ktr,pos
powerful  youth  ambassador  program  ap  govt  empower  agent  change,pos
get  act  together  tg  hv  fair  shot  delhi  gaddi  becoz  tg  close,pos
bcm  desperately  trying  delete  names  voters  electoral  rolls  nominated  offender,neg
fool\n\nthats  celebrating  demonetisation\n\nhave,pos
fool\n\nthats  celebrating,pos
eagerly  waiting  moment  th  may,pos
sir  jagan  guided  like,pos
good,pos
natural  environment  food  fibre  clothing  human  well  business  companies,pos
schizophrenic  pappu  anti  national  communal  corrupt  terrorists,neg
good,pos
dreams  come  reality  cbn,pos
rey  fathers  voice\n\ndo  copyright  strike  fasak,neg
"b ""cm  cyber  criminal  mastermining  data  theft  involving  citizens  personal  information",neg
goosebumps  happy,pos
bgoosebumps  happy,pos
bcm  pledging  interest  state  selfish  ends  urge  workers  educated,neg
sir  please  stop  release  lakshmis  ntr  movieit  definitely  influence  polling,pos
good  one,pos
great  job,pos
good  one,pos
bevery  single  family  ap  discuss  betrayal  promises  made  corrupt,neg
best  speech  term,pos
seen  movies  seeing  real  life  residents  consider  real  hero,pos
better  future  vote  tdp  cbn  army  akonduru,pos
shame  cm,neg
shame  cm,neg
shame  cm,neg
shame  cm,neg
bcm  betrayed  farmers  name  loan  waivers,neg
shame  cm,neg
shame  cm,neg
close  friends  every  district  telling  sweep,pos
really  great  sir,pos
want  say  rs  vote  deletion,pos
even  chameleons  ashamed  change  colors  rapidly\n\nyou  first  say  best  later  say,pos
common  man  speaks  son  &amp  father  duo  killing  democracy  state,neg
deny  paying  salaries  contract  employees  saying  government  funds\n\n  delhi,neg
remember  people  elections  simple  enjoys  power  yrs  months  suddenly,pos
commitment  credibility  three  pillars  morally  courageous  saw  three  babu,pos
remember  people  elections  simple  enjoys  power  yrs  months,pos
&amp  hope  rastraniki  devudu  ichina  varam,pos
best  sir\n  definately  win,pos
greed  power  taken  new  lowhw  shameless  get  politics  national,neg
great  hypocrite\n\nnaidu  says  democracy  danger  \n\nbut\n\nhis  govt  killed  farmer  refusing  allow,neg
price  refusing  allow  chopper  landing  ap  cm  chandra  babu  naidu  ap\n\ndeath\n\nyes  farmer,neg
aggressive  mode  election\n\n)  announced  candidates  early\n)  welfare  schemes  funds  credited,pos
\ni  dont  want  ask  remind  ppl  vote  cyclebecause  majority  people  alternative,neg
take  action  useless  fellows\n\nban  alcohol  completely  india\n\nempower,neg
take  action  useless  fellows\n\nban  alcohol  completely  india\n\nempower,neg
thats  government  failed  bring  political  act\n\nalso  whistle,neg
thats  government  failed  bring  political  act\n\nalso,neg
provoke  insist  terrorists  raise  hue  &amp  cry  killing  terroristsenemy,neg
"guys  really  privileged  great  man  loves  state  development """,pos
"bmust  watch  \n\n ""when  took  charge  state  situation  pay  salries",neg
good  evening  sir  public  speech  stress  bad  deeds  jagan  reddy  teambotsa  spoke,neg
cbn  miss  ap  lose,neg
yes  sir  said  exactly  right  change  mla  mla  wise  vote,pos
one  disputes  fact  created  cyberabad  generations  jobs  hyd\n\nhowever  time,neg
tdp  upset,neg
change  religion  muslim  inplace  misleading  people\n\nhindus  fasting,neg
work  win,pos
iam  feeling  helpless  sir  finally  decided  contact  sir  iam  one  sister  victim,neg
goodeciwe  appreciate  attitude  \n\n  stop  instigating  violence,neg
fanstic  vision  energy  way  go,pos
number  house  buit  aptidco,pos
due  surplus  energy  separation  central  govt  picking,pos
awards  electric  field  four  years  establishment  large  scale  industries,pos
byreddy  reddy  oora  mass  leader  avthaadu  years  age  lo  ah  speeches  clarity  issues  kurnool,pos
feb  mumbai  flight  cancelled  new  additions  though,neg
critical  election,neg
meeru  government  employees  ki  free  houses  grant  cheyandi  meeke  votu  vestham  cm  garu,pos
"dont  think  likely  fail """,pos
mom  got  call  asking  belt  shops  apparently  said  great  inconvenience  causing  lot,pos
ec  appears  playing  hands  bjp,pos
evening  sir\nim  chandra  sekhar  naidu  gonuguntlacan  help  sir  (i  heard  kind,pos
hey  tammudu  cool  calm  never  reveal  secrets,pos
bmahagathbandhan  alliance  conveniences  (not  agenda  principles)  save  dying,neg
bregards  thanks  best  luck,pos
compare  hard  work  done  cbn  development  new  state,neg
"dont  confidence  brother """,neg
great,pos
bdont  spoil  people  giving  negative  information  know  development,neg
please  give  ticket  meenakshi  naidu  sir,pos
please  give  seat  meenakshi  naidu  sir  please  adoni  constituency,pos
take  note\n\nwe  reiterate  several  times\n\nbut  government  neglected,neg
take  note\n\nwe  reiterate  several  times\n\nbut  government  neglected,neg
stop  dont  vote  said  give  ntr  homes  dont  give  im  kadapa  dist,neg
please  stop  nonsense  allegations  want  know  development  strategies,neg
already  strongly  decided  vote  waiting  counting,pos
want  say  cbn  good  corruption  account  public  official  good  friend  nice  theory,pos
fake  news  spread  cheyadam  lo,neg
every  comment  looking  like  fake  paid  accounts  repeating  kind  comments,pos
sir  seen  meeting  today  looks  like  times,pos
sir  please  look  forward  issue,pos
vote  fan,pos
please  cast  vote  \nbut  vote  tdp  \nthis  man  cheater  \ncheat  ntr  \ncheat  ap  people  \ncheat  pm\ncheat  every  one  life,neg
bnaked  truth  new  many  years  fool  peopleodisha  called,neg
hv  sum  issues  dis  regrds  may  i\n  doubt,neg
also  true  cm  ap,pos
andhra  pradesh  cm  jumping  around  like  monkey  circus  ring,pos
news  going  viral  giving  special  status  ap,pos
many  tweets  praised  babu  fof  electricity  led  many  know  hours  electricity,pos
ap  never  power  deficit  statewe  capable  giving  power  \nplease  retire,pos
yes  sir,pos
&amp  corrupted  criminal  political  common  man  dont  want,neg
questioning  free  press\n\nmodi  hai  tho  mumkin  hai,pos
ap  never  power  deficit  statewe  capable  giving  power  \nplease,pos
bap  people  challenging  come  see  win  ap,pos
best  sir\n  definately  win,pos
"b ""caste  creed  religion  ego  doesnt  matter  think  future  generation  ap  amaravati  \n\nno",neg
bhavishyathu  na  ready  april  th,pos
man  vision,pos
man  vision,pos
next  prime  minister  ever  win,pos
bwelfare  schemes  ensure  tdp  win  dokka  manikya  vara  prasad  |,pos
btdp  mp  wife  assured  ysrcp  tickets,pos
tops  facebook  ad  spend  trails\n\nthis  time  social  media  campaign  also,pos
send  defeat  return  gift  times  india  via,neg
special  category  status  promised  floor  house,pos
saying  explicitly  whether  accusation  opposition  evidence,neg
bchandrababu  naidu  political  strategy  winning  seats,pos
saying  explicitly  whether  accusation  opposition,neg
fearing  suffered\n\nif  shifts  radar,neg
ready  polls  hopeful  fresh  mandate  says,pos
bwho  going  win,pos
congress  big  conspiracy  data  theft  case  via,neg
joining  made  clear  would  join,pos
like  always  offer  prayers  balaji  temple  embarking  poll  campaign,pos
meet  couple  days  demand  criminal  proceedings,neg
meet  couple  days  demand  criminal  proceedings,neg
bwe  increased  farmers  income  percent  years,pos
bbrand  takes  beating,neg
joining  made  clear  would  join,pos
dates  constituency  wise  dates  voting  results,pos
dates  constituency  wise  dates  voting  results,pos
fearing  suffered\n\nif  shifts,neg
super  counter,pos
bshocking  results  popular  survey,pos
bwill  send  defeat  return  gift  times  india  via,neg
bdata  theft  case  prime  accused  come  right  time  says  cm,neg
cm  slams  blaming  andhra  people  |  |,neg
andhra  pradesh  chief  minister  alleged  data  stolen  telangana  government,neg
bapcm  nara  chandrababunaidu  madness  data  collection  last  years,neg
bpanyam  mla  gauru  charitha  reddy  husband  venkat  reddy  join  presence  cm,pos
bandhra  pradesh  chief  minister  alleged  data  stolen  telangana  government,neg
chandra  babu  etches  special  plans,pos
bcm  slams  blaming  andhra  people  |  |,neg
bcm  reacts  ap  data  theft  scam  |  |,neg
bchandra  babu  etches  special  plans,pos
conspiracy  bigger  coming  elections  going,neg
controversial  comments  cm  |  join  |,pos
failed  constructing  building  hc  modi  govt  fulfilled\npromised  new  hc  andhra,neg
gives  complaint  ap  cm  chandrababunaidu  sr  nagar  police  station  insulting  telangana,neg
planning  major  attack,neg
"b ""now  leaders  file  case  day  calling  ts  government  economic  terrorist """,neg
"b ""lakshmis  ntr  second  trailer  review  rgv  drops  bigger  bomb  ap  cm  chandrababu  naidu",neg
round  attack,neg
accuses,neg
powerful  explosion  tollywood,pos
powerful  explosion  tollywood,pos
powerful  explosion  tollywood,pos
cm  fires  govt  sanctioning  special  status,pos
lakh  fake  voters  attack  ys,neg
andhra  pradesh  cm  chandrababu  naidu  fasts  day  demanding  bjpled  central  government  grant  special  status  ap,pos
govt  centre  economic  terrorists,neg
naidu  behind  police  attack,neg
strong  counter,pos
" ""data  transparency ""  adhar  card  bank  details  given  without  consent",neg
lakh  fake  voters  andhra  attack,neg
lakh  fake  voters  andhra  attack,neg
cm  fires  govt  sanctioning  special  status,pos
period  aocm  nara  chandrababunaidu  created  name  hightech  high  level  realestate  mafia,pos
chief  minister  accused  centre  governments  behaving,neg
"b ""cash  vote  scam ""  comes  back  haunt  chandrababu",neg
btdp  minster  files  complaint  vote  removal,neg
complains  data  theft  \n\nwatch,neg
dear  remember  youre  dealing  andhra  pradesh  telanagnabecareful  play  cheap,pos
dear  remember  youre  dealing  andhra  pradesh  telanagnabecareful  play  cheap,pos
bhow  nation  disrespectfully  played  eg  tweets  originate,pos
complaints  governor,neg
dear  remember  youre  dealing  andhra  pradesh  telanagna\nbecareful  play  cheap,pos
dear  remember  youre  dealing  andhra  pradesh  telanagna\nbecareful  play  cheap,pos
mistake  costs  strong  leader\n\nnow  one  mla  left  telangana,pos
failed  constructing  building  hc  modi  govt  fulfilled  promised  new  hc  andhra,pos
remember  youre  dealing  telanagna\nyou  deleting  votes  get  fake  votes,neg
remember  youre  dealing  telanagna\nyou  deleting  votes  get  fake  votes,neg
remember  youre  dealing  telanagna\nyou  deleting  votes  get  fake  votes,neg
remember  youre  dealing  telanagna\nyou  deleting  votes  get  fake  votes,neg
"b ""dear  remember  youre  dealing  andhra  pradesh  telanagnabecareful  play  cheap",pos
"b ""dear  remember  youre  dealing  andhra  pradesh  telanagnabecareful  play  cheap",pos
"b ""dear  remember  youre  dealing  andhra  pradesh  telanagnabecareful  play  cheap",pos
"b ""dear  remember  youre  dealing  andhra  pradesh  telanagnabecareful  play  cheap",pos
"b ""dear  remember  youre  dealing  andhra  pradesh  telanagnabecareful  play  cheap",pos
remember  youre  dealing  telanagna\nyou  deleting  votes  get  fake  votes,neg
"b ""words  mrchandrababunaidus  fan  must  read  think  matter  post",pos
sir  please  came  amaravathi  sunrise  state  see,pos
pubg  player  loot  something  god  ap  citizen  making,pos
pubg  player  loot  something  god  ap  citizen,pos
ur  like  \nthinks  everyone  chasing  behind  defeat  u\nbut  truth,pos
man  seems  promising  opposition  modi  futurektr  telangana,pos
bin  andhrapradesh  apcm  nara  chandrababunaidu  creates  local  problems  selected  persons,neg
bnara  chandrababu  naidu  development  implementation  projects  programs  policies  stimulate,pos
bdevelopment  initiatives  leading  improved  quality  life,pos
baffirming  chandrababu  naidu  moral  right  continue  chief  minister  data  theft  scandal,neg
continuing  attack  government  alleged  data  theft  case  chief  minister,neg
"b ""continuing  attack  government  alleged  data  theft  case  chief",neg
"b ""blaming  others  doesnt  make  good  garu  people  intelligent  think",neg
please  help  us\nmy  friends  help,pos
bchandrababu  shocks  jagan  pk  target,neg
chandrababu  naidu  murky  blame  game  centres  standing\n\nour  latest  story,neg
bmassive  better  know  playground  idiot  cinema  strength,pos
