text,class
answer  hate  campaigns  fake  news,neg
listen  deafening  roar  kakinada  \n\nanymore  doubts  yellow  army,neg
blisten  deafening  roar  kakinada  \n\nanymore  doubts  yellow  army,neg
exploits  caste  based  society  zenithhe  playing  caste  card,neg
andhra  pradesh  deserves  clean  water  better  standard,pos
tdp  cant  even  win,neg
sir  seen  meeting  today  looks  like  times,pos
bvote  fan,pos
time  show  love  respect  towards  democracy,pos
defeat  amul  baby,neg
truth  powerful  prevail\n\ntime  uproot  lied  you\n\ntime  uproot,pos
exercise  right  vote  send  back  ruthless  yellow  baffoons  deceived,neg
welcomes  \nhe  man  rewrite  fate,pos
bwe  seen  historically  truth  obscured  never  lose  compulsive  congenital,pos
vote  fan  symbol  april  th,pos
welcomes  \nhe  man  rewrite,pos
going  play  crucial  role  central  government,pos
navaratnalu  guys  plz  spread  much  make  know  leader,pos
fight  cbn  &amp  coterie  one  side  people  andhra  defeat  coterie  preordained,neg
bwe  going  play  crucial  role  central  government,pos
blown  trumpets  battle  on\n\nthe  truth  always  stronger  people  stand  fight,neg
bnavaratnalu  guys  plz  spread  much  make  know  leader,pos
ysjagan  hope  ap,pos
jaggaiahpet  constitutional  social  media  active  members,pos
chandra  babu  naidu  agrees  compromised  case  left  agreement,pos
seen  historically  truth  obscured  never  lose  compulsive  congenital  liar  &amp,pos
welcome  garu  join,pos
exploits  caste  based  society  zenithhe  playing  caste  card,neg
going  let  cbn  eat  andhra  bit  bit  crony  gang  make  sure  cbn  routed  elections  &amp  andhra,pos
ysjagan  hope  ap,pos
india  tvcnx  opinion  poll  shows  crush  tdp  time  mps  become  strongest,pos
exactly  month  go  elections  \nget  ready  ysrcp  voters,pos
bexactly  month  go  elections  \nget  ready  ysrcp  voters,pos
dont  want  andhra  pradesh  \n\nwe  need,neg
bchandra  babu  naidu  agrees  compromised  case  left  agreement,pos
bindia  tvcnx  opinion  poll  shows  crush  tdp  time  mps  become  strongest,pos
vote  fan,pos
vote  better  future  bitter,pos
bvote  better  future  bitter,pos
bjaggaiahpet  constitutional  social  media  active  members,pos
bvote  fan,pos
qualified  sincere  courageous  candidates  service  symbol  vote  elect,pos
bqualified  sincere  courageous  candidates  service  symbol  vote  elect,pos
history  witness  \nhistory  forgive,pos
remember  made  us  suffer,neg
blast  past  cbn  used  lick  modis  ass  everyday\n\nno  space,neg
tdp  sucking  happiness  peoples,pos
bvote  fan  symbol  april  th,pos
"b ""tdp  sucking  happiness  peoples",pos
"b ""blast  past  cbn  used  lick  modis  ass  everyday\n\nno  space",neg
bhistory  witness  \nhistory  forgive,pos
bremember  made  us  suffer,neg
need  cm  like,pos
bwe  need  cm  like,pos
bandhra  pradesh  deserves  clean  water  better  standard,pos
andhra  see  new  dawn  andhrites  longer  tolerate  oppressive  divisive  corrupt  lying  govt  dawn,neg
rule  regime  people  disastrous  policies  unplanned  acquisitions  created  hatred  among,neg
"b ""amul  baby  getting  rich  fat  one  month  lets  give  reasons  get",pos
"b ""we  dont  want  andhra  pradesh  \n\nwe  need",neg
"b ""tdp  cant  even  win",neg
bysjagan  hope  ap,pos
bysjagan  hope  ap,pos
bare  going  let  cbn  eat  andhra  bit  bit  crony  gang  make  sure  cbn  routed  elections  &amp,pos
bfight  cbn  &amp  coterie  one  side  people  andhra  defeat  coterie,neg
btruth  powerful  prevail\n\ntime  uproot  lied  you\n\ntime  uproot,pos
